EWMSTATUS,avg_secchi,roaddensity_density_mperha,GFDL.avg.ann.gdd
0,1.273618272,59.9015,1657.7754160324066
1,2.225896296,37.9678,1735.5751765897332
0,3.751983118,33.541,1561.2566407336833
0,3.542339277,34.3914,1575.904947310387
1,3.235489855,72.6983,1813.105195174405
1,1.258507742,45.8752,1938.4542020954016
1,0.62185567,32.6897,1954.2241786318757
1,1.302719735,50.0948,2056.5809632871183
1,0.558478261,54.8147,1969.3459719665416
1,1.073605522,39.2435,1935.3977088252716
1,1.898448566,51.1229,1780.943687156965
1,2.698723268,59.2544,1833.7584706022433
1,2.133528421,109.9689,1992.7742547517169
1,2.622070253,54.8945,1738.3494130534732
0,4.655283038,27.3331,1581.7022364286483
0,2.304486007,45.4778,1639.8114055086785
0,2.666774458,37.7049,1497.4930089391432
0,3.076574074,75.4711,1625.3294248700415
0,2.353666667,32.4903,1497.9836990605268
0,3.245002198,75.4711,1546.63092786377
0,2.644978641,35.2217,1578.210437638665
0,2.6924,35.2056,1515.888448547835
0,2.997572292,58.4443,1615.5581838217734
0,3.909420905,27.6587,1588.3928612406917
0,3.955167273,33.2254,1542.567365698025
0,5.343870615,40.0909,1572.469747909385
0,3.096254902,44.5934,1559.3409321055033
0,2.370292408,27.6805,1636.661640921955
0,2.334433657,29.3227,1543.9940029337167
0,3.482405122,29.3227,1543.9940029337167
0,2.02823,30.0221,1596.3384919145385
0,3.813155556,18.0134,1565.4299065652467
0,2.488284444,15.8043,1596.3384919145385
0,3.376936073,36.0916,1573.2353169993216
0,2.16488,19.0518,1531.6757433537866
0,2.95439931,10.0108,1611.198736610665
0,3.332047664,32.8712,1576.0864993487137
0,3.59,25.4363,1573.2353169993216
0,2.660000296,54.815,1560.92817070696
0,3.015633793,34.9738,1605.75088204082
0,3.757906006,53.0268,1541.662068278425
0,2.9446,88.1549,1584.5767838996817
0,2.532378049,40.1803,1613.835036773815
0,3.315811554,43.7931,1477.2800707133883
0,0.786390981,38.7275,1898.6027456067932
1,1.493440485,73.1354,2059.1604026407035
1,1.2991152,65.8484,1981.3882256667785
1,1.350859353,20.2353,2051.056607584678
1,3.826360935,47.826,1431.27067150513
1,2.778178621,76.0069,1449.5744931562483
1,3.612104455,66.8005,1461.3279496323885
1,2.220684103,92.216,2041.5514373037831
1,3.527896552,74.5059,2012.2270619244
1,1.534992195,126.0616,2040.1602041837864
1,1.438565401,58.2076,2081.6132736628383
1,2.677137166,83.788,1918.4597766846032
1,2.898924675,25.6257,2032.524436271895
1,1.457567917,110.723,2066.4243503192033
1,1.476571503,89.2722,1994.3669704978
1,1.780411765,67.7221,1984.0702111239568
1,2.168862253,69.6609,1960.223235629215
0,0.79807218,4.9428,2136.0922676919818
1,2.878928462,40.9,1864.98257365378
1,1.067381643,18.1459,1978.779617019085
1,1.208,2.9742,1931.2668787094983
1,1.6764,31.4563,1943.8239200544715
1,2.742178218,31.4563,1943.8239200544715
1,1.603873874,47.9126,2036.2608931848183
1,2.200882353,64.3282,1975.60957071211
1,1.989560976,68.87,2016.373398424793
1,1.275933409,45.0392,1952.9469814755437
1,1.690663725,35.0387,1949.0562757781831
1,2.575627976,29.2657,1933.4823821933217
1,2.66085913,22.3999,1971.44594183471
1,2.542670505,77.877,1961.3689953746864
1,1.625412903,77.0026,2030.24158784001
1,1.483132222,38.0517,2088.7017564186535
1,0.656095041,24.8976,1995.9062483087932
1,1.13098961,25.3988,2126.88983777028
1,0.502546584,83.5571,2123.7538337861633
1,0.952101064,134.1676,2103.0817113592616
1,3.132666667,42.0876,1677.80351724291
1,3.907021424,42.9057,1664.025116204075
0,3.323991379,15.8709,1593.1122159479885
1,4.401081928,58.7442,1598.4310207421215
1,2.322061538,16.4794,1476.55322365808
1,2.810240606,31.4444,1606.3594328057668
0,2.835809855,42.549,1739.9088380260132
0,2.8967875,40.768,1739.9088380260132
0,2.534444444,24.583,1739.9088380260132
0,1.585073289,53.7987,1739.9088380260132
0,4.217837073,42.4185,1575.4514669353616
0,5.683223621,60.5099,1485.41682886997
0,4.547634286,36.0916,1492.548999082715
0,3.913847574,45.0482,1542.29411464858
1,1.29032,69.7822,1879.58683726316
1,1.617435219,65.8926,1845.0646277621815
1,2.58152,94.29,1879.58683726316
1,2.727339592,85.0612,1878.6091733207336
1,1.34112,59.167,1953.8233180547
1,1.676807066,47.079,1884.7900245674932
0,1.674672131,51.8488,1876.7136366340617
1,3.227443721,54.7363,1772.0971158852549
1,1.71704,29.7304,1881.9365361525267
0,3.137236364,5.3236,1620.0099246396333
0,3.076571969,101.1057,1529.1907642581484
0,3.0108,10.6668,1107.1207795381033
0,4.753024533,19.954,1150.9868621628416
0,2.70824,9.6534,1198.1117690771566
0,5.438945455,0.156,1089.4164353413537
0,4.588785172,14.9628,1114.1349253422
0,4.181933333,0.1571,1163.722088253075
0,3.01294363,44.0453,1277.172765177373
0,5.617156522,22.0089,1239.56672011804
0,4.773283761,18.2754,1151.6213371366234
1,4.390224726,58.6131,1596.58065422115
1,3.76381106,32.691,1660.825110118825
1,4.9276,44.3127,1668.0487724318334
1,4.322330435,32.323,1668.0487724318334
1,3.815045685,42.1416,1668.0487724318334
0,4.58411866,119.9252,1700.2302518343067
1,2.19342385,44.2378,1748.478554868815
0,3.118538182,33.311,1755.1204380029783
0,3.60024,15.3924,1747.9721580167434
0,2.282021333,86.2031,1787.929169724615
1,1.724035714,25.7684,1747.3146061110567
1,1.592363842,49.2235,1759.338633739717
1,5.241206504,42.2696,1631.3384896507866
1,3.342362483,31.4841,1727.4037227100016
1,2.883679918,24.1841,1742.5997952200632
1,3.243943662,29.0417,1490.99817051319
0,2.830850413,30.2771,1649.958521039875
0,4.353151648,54.4162,1649.958521039875
0,2.651096154,54.5322,1649.958521039875
0,4.303095502,61.3463,1652.4791941730716
0,5.198569281,62.903,1628.4114433733066
0,3.298685712,30.7926,1649.958521039875
0,4.303714286,45.3602,1649.958521039875
0,4.013248,63.5738,1649.958521039875
0,4.341953271,47.6807,1649.958521039875
0,4.2164,87.4742,1685.01090028235
1,5.44638033,40.3373,1703.0188439715982
0,3.917602469,32.2135,1649.958521039875
0,3.668894382,37.9752,1649.958521039875
0,4.320764835,40.1336,1649.958521039875
1,4.896706667,42.9196,1677.73164548028
0,2.241877778,11.459,1649.958521039875
0,4.354277229,57.0502,1587.2513718901732
0,3.27244882,83.3935,1732.2736484332167
0,2.896766026,52.2278,1748.717271738877
0,4.541807746,59.5022,1788.84407501449
0,3.858911184,36.4583,1693.0449173545549
0,4.492374026,38.4153,1649.958521039875
1,3.421818993,97.1958,1702.6266423085883
0,2.942133333,39.6857,1750.35099494485
0,2.8652,45.3259,1739.9088380260132
0,2.3918,80.9011,1739.9088380260132
0,3.905236379,63.0523,1693.0449173545549
0,2.312960677,41.0234,1774.1205292708617
0,6.97992,28.5816,1729.73976254583
0,9.0678,28.5816,1622.68282515112
0,10.88,28.5816,1649.9317794824867
1,10.88,28.5816,1622.68282515112
0,10.88,28.5816,1622.68282515112
0,11.7348,18.6657,1810.375513437115
0,0.6248,66.9898,2033.3405392308032
0,0.31,73.1826,2260.264690163905
0,0.7619836,34.0797,1909.7054564451416
1,0.918167203,85.5335,2145.9135543338784
1,1.146863469,77.6221,2071.68970281973
1,2.7432,63.816,2026.229010994255
1,1.98214527,92.6389,1928.0818365263467
1,2.571705112,44.2011,1926.8883561941384
1,1.955112195,104.1512,2069.35112618841
1,1.66660098,76.7696,2080.70685028973
1,3.679050794,37.3234,2022.995936710135
1,1.391927737,90.806,2106.474789751698
1,1.874242424,9.7142,2039.9797514075017
1,2.439264706,19.0464,2061.118853372775
1,1.840947778,49.6204,2072.343767405495
1,3.467823529,85.1868,1993.197702557475
0,3.374182564,48.1773,1720.15432079003
0,3.302962543,71.9184,1649.618920058785
1,3.321019827,62.5461,1754.190740948197
0,1.759939003,29.4784,1799.7440814781585
1,3.545205446,67.0541,1649.285574316915
1,4.240989029,49.6396,1648.4630867124033
0,2.582881146,35.9657,1704.6811305751885
0,3.396240908,35.2551,1721.4190152785684
0,3.723580926,69.4655,1648.7407171702737
0,3.778726025,33.0531,1629.6991161895317
0,2.791264723,30.0683,1682.0229388276384
0,1.856152809,21.1085,1692.267963750695
0,2.153136207,33.1861,1712.3695420462268
0,2.401,37.9007,1648.7407171702737
0,2.716216667,47.6689,1747.30354099373
0,3.137430894,22.5438,1744.8724883626385
0,3.720473529,27.8395,1522.160716385093
0,3.218243284,37.7545,1694.68968309602
0,4.019021538,61.5905,1721.4662527418234
0,3.636026087,35.6676,1522.160716385093
0,4.1148,60.3518,1709.9271095430784
0,3.548489552,38.4945,1643.9388352381084
0,2.529,17.2394,1641.42928717403
0,4.079306803,40.1846,1651.9890603983567
1,2.418737778,16.0701,1727.55099395394
0,2.078150289,30.4775,1776.56590820914
0,2.7432,40.4136,1744.2905831247983
0,3.723582873,26.5723,1715.9287067406715
0,3.083651429,30.7304,1773.0886352297284
0,2.53524631,34.2202,1630.8635112339734
1,2.1209,17.9185,1798.671700484005
0,1.34112,18.7338,1630.8635112339734
0,2.493869307,12.5466,1745.1513333813866
0,2.271500559,22.8944,1726.9542512838916
0,2.619888344,25.7729,1753.1688453306615
1,1.793965714,24.4087,1775.8611748002018
0,1.627824,23.5652,1767.0327205662152
1,1.068496063,38.495,2099.991908374908
0,1.991696744,38.6108,1756.2366841418016
0,1.59532,52.1829,1783.52536450372
0,1.124089712,32.0378,1766.02328202957
1,1.63068,53.1972,1951.3275781262917
1,0.971640764,127.3471,2127.2722500640166
1,3.357442975,130.0251,2020.9026857579715
1,1.475342122,94.7058,2078.1973758394834
1,1.316197023,126.6005,2116.0680818788683
1,0.431818182,118.2152,2236.3920349362916
1,3.894768047,110.5677,1991.3027501137235
1,2.136626812,89.2272,2019.85630472765
1,2.385199375,133.9321,2044.5049383631383
1,1.68919,129.0236,2091.2276567828567
1,1.5494,99.9197,2121.10972391682
1,3.035027778,60.0751,2000.13021347014
1,2.112583333,59.3242,2009.86717350117
1,1.708861489,120.0002,2073.1462615031633
1,5.115182524,104.7277,2067.89075731093
1,0.83356175,64.0861,2163.623095782635
1,1.64,70.0713,2095.7356976442934
1,1.528961814,88.0577,2077.847317241153
1,2.160246154,100.1694,2061.02558964536
1,1.794937626,90.5821,2043.3835428929283
1,2.7703374099999998,94.9614,1965.8237179777916
1,1.996732921,84.6445,2012.9653104768067
1,1.193841667,31.8155,2046.7968764358216
1,2.827128125,97.2299,1927.7652811512817
1,1.629018901,95.5601,2030.90714432048
1,2.8738576,82.026,2086.68847422085
1,3.488418079,62.8254,1973.55421297054
1,3.556056338,60.6226,1973.55421297054
1,3.756381579,92.5015,1973.55421297054
1,5.84948878,73.3938,1914.8279090018968
1,1.151054217,35.1995,2115.9453815861502
1,1.4,110.2328,2157.7098936965785
1,1.227880588,81.9259,2056.1341232079817
1,1.810116312,28.3148,1958.0675284284032
1,3.81,24.5026,1928.1711295629016
1,1.300968302,58.0708,2000.952792332725
1,0.788846154,107.1762,2065.7281733271
1,1.0287,14.8031,2061.5205214298767
1,0.47754386,33.2341,2141.890103829845
1,0.816864,34.6677,1981.4978910361133
1,1.542739044,34.6677,1981.4978910361133
1,1.297797101,34.6677,1981.4978910361133
1,1.729205602,31.6293,2010.34958957697
1,1.528571429,81.196,2054.6596376378816
0,3.522683721,64.0984,1515.4524573438616
0,3.82049313,58.0623,1492.70098348361
0,1.528887066,51.9494,1640.097707009445
0,2.360611765,33.3566,1640.097707009445
0,2.315985,37.9653,1640.097707009445
0,1.343525874,11.8574,1646.106899277553
0,2.614439024,52.4331,1695.342597116445
0,4.600266222,39.5883,1443.817092305955
0,2.05166875,33.1724,1527.9856156835433
0,3.074604975,55.9394,1587.06053046097
1,4.66787234,28.4016,1550.4709979018717
0,3.175925926,53.3747,1562.70966885804
1,1.643534239,51.6175,1813.669843713075
1,1.7543003129999999,75.0919,1711.7239329753563
1,0.650674965,70.9308,1998.3664577963632
1,1.158189091,30.3607,1948.312273744515
1,4.205536,77.0468,1785.3891977105684
1,1.8519688,61.7294,1838.47080545232
0,3.105911111,28.5857,1480.8249675710767
1,3.937785366,35.1247,1549.8618226903684
1,3.768225067,35.1247,1549.8618226903684
0,5.239635744,49.3448,1480.8097299201468
0,3.7792,28.8216,1561.8757952692567
1,2.609725926,68.4633,1612.0895331182016
1,4.188910112,128.072,1584.6858396201185
1,4.792315862,64.1234,1556.0599002287618
1,4.572,9.8727,1369.1735210763184
0,4.6101,55.7086,1485.935175452535
0,2.5918,94.2346,1633.554130290945
0,3.172771111,6.7908,1551.2871989758582
0,0.61,7.2988,1473.64825720126
0,4.058147416,41.3129,1470.1578467781233
0,2.420172308,21.7539,1562.8248100046117
0,0.91,0,1563.6854750863315
0,3.03,33.2023,1559.2664642678333
0,3.239904189,33.2023,1559.2664642678333
0,2.825,4.3694,1554.88003228467
0,2.948106667,3.1314,1584.545126507995
0,2.076428571,33.7578,1567.2519214061167
0,0.96,8.5871,1484.34143502488
0,2.878559459,36.7086,1495.5424957963633
0,0.91,0,1632.1312146905916
0,0.522945161,22.616,1939.0512156237432
0,0.612380658,41.5027,2055.321539750295
0,0.888031333,27.5183,1952.701889900335
0,0.66602,35.6086,1754.054900779945
0,0.479175789,35.9402,2014.390954608585
1,1.061242409,49.6077,1771.1117034962415
0,1.952318857,46.4028,1903.9174863754731
1,1.414248763,34.6453,1808.7603721774417
1,3.74181858,91.891,1821.5170087417464
1,3.755335229,65.1498,1878.2738650229148
1,3.80675392,52.3481,1803.684271186045
0,3.862976895,79.7803,1852.24630648245
0,2.319991258,68.3543,1824.242927240913
0,2.218226036,87.0372,1909.6817512758869
1,2.897784615,56.9242,1907.393141186845
1,2.932885854,25.9675,1881.907021347817
1,2.298534347,39.8062,1821.712982378828
1,0.98298,27.6919,1825.2291252449984
0,0.530352,24.0711,1948.4388898973336
0,3.309527053,0,1425.6982606963584
0,1.7272,0,1410.3319967451066
0,1.759186885,37.0853,1471.4907965700866
0,2.762704033,0,1459.5909518806366
0,1.3073104,30.4496,2053.332196594908
1,1.276628955,68.9313,2041.4423025268736
1,1.787206184,67.703,2003.9218838650315
1,1.237417971,88.5751,2072.1770992204983
1,2.313318222,83.7379,1962.6657301786884
1,1.614943182,48.5647,2060.0104240678884
1,1.7952689,49.4781,1869.14267909958
1,1.106397473,56.1054,2093.506955380293
1,0.635248,13.9711,1940.3623826764176
0,3.092527138,38.9627,1523.192110813405
0,3.497297297,48.015,1557.1135393175832
1,0.924678571,29.1729,2007.5018489785864
1,1.24409581,39.5563,1961.7640617055715
1,2.691745653,39.1464,1887.9409843255064
1,1.717722105,17.4219,1942.871260005047
1,2.372684007,36.2851,1881.2444021219117
1,0.764509613,35.443600000000004,1979.889461459553
1,2.478166667,33.1617,1820.713873492317
1,4.245685358,55.1627,1906.559648742665
1,3.446957241,69.1301,1692.77016346429
0,0.859166667,51.233,1744.9776876321866
0,1.635155556,19.4871,1709.1128692329266
0,1.558461538,10.7289,1569.4422833042383
1,4.776182192,47.5787,1680.2910648342583
1,4.508631356,42.2559,1670.6111431955785
1,2.805257644,62.5897,1720.6958957038416
0,3.622018529,49.478,1745.9585645246484
1,4.001053755,40.1805,1703.1878915920934
0,0.608394955,31.9657,2008.6100102898683
0,1.205816,19.6368,1861.13238101076
0,1.480900046,40.5543,1968.4239323234733
0,1.97898087,53.8102,1748.60039753825
0,3.840104497,40.2453,1626.5435927486417
0,2.011050431,41.6569,1612.7063541498017
0,2.017871549,56.0003,1726.2758603747966
0,3.909215145,55.873,1610.30253382202
0,3.753651612,27.024,1597.920009411765
0,5.117642353,25.8161,1591.69750482862
0,3.536935535,59.7291,1635.80558012807
0,5.780635016,47.3939,1704.3773910116183
0,3.480729867,44.4474,1604.1777673937734
0,3.981916522,31.7553,1703.131655550575
0,2.204148546,27.5452,1684.7636025114266
0,6.205624896,32.2192,1592.4777114438584
0,6.676301156,35.6761,1587.3445682249833
0,3.513416918,32.0405,1646.75743185734
0,2.86512,44.4474,1604.1777673937734
0,2.851681712,30.9364,1582.9358230640466
0,4.105107076,35.4491,1610.0694503198133
0,4.974238992,34.2435,1613.761515555255
0,5.075180135,35.2293,1623.2396874141932
0,4.28554742,28.9729,1630.7731768522017
0,5.079912681,51.9574,1542.59439092493
0,3.16920375,29.4997,1697.4239243529
0,3.15,25.0936,1674.24828700633
0,4.293231034,40.2743,1634.7726276562785
0,5.735125412,34.0585,1610.87810571914
0,1.976865455,26.3014,1705.623236743045
0,3.31378406,65.2463,1657.7987192054215
0,1.421428571,24.014,1768.1012142476416
0,2.39050416,42.174,1732.5442766558383
0,3.197126667,36.901,1736.4174273586666
0,3.42765977,59.0366,1487.410184891715
0,3.132495738,41.7292,1614.1168461968534
0,2.595694864,51.6239,1645.2955648131517
0,4.370063079,54.5075,1618.6170152088116
0,3.750885167,54.5075,1618.6170152088116
0,3.586146963,50.7404,1767.874651367725
0,2.453629091,54.1411,1723.411471041395
0,3.218995556,43.6683,1748.09357852452
0,3.358389167,40.3624,1662.718050415113
0,3.872203999,54.5075,1646.395288975275
0,1.65656,14.4212,1797.77066069248
0,3.543620901,38.3779,1700.16867096837
0,3.038622857,43.0403,1580.9219647564316
0,1.373084,13.0995,1862.0690360784167
0,5.90242268,23.6048,1626.4712190313
0,2.836363636,39.522,1688.7843105577615
1,4.411078259,62.6014,1479.5832919634618
1,3.193642554,95.3389,1458.30760015638
1,1.119950374,72.6859,1810.5436541105169
1,1.065306409,32.746,1803.6573539746869
1,2.971349792,37.534,1605.4677345010375
1,2.869531341,53.8255,1755.3178646514866
0,3.770220354,71.178,1683.7273098796084
1,1.50344411,34.3127,1894.8146543618368
0,2.393301245,23.7331,1741.2933527426032
0,1.497417492,51.2577,1768.73043235189
1,2.902281501,73.0834,1754.22744428091
0,3.154992868,18.0044,1787.6504416792966
1,0.581468485,8.2124,1850.04342778711
1,2.010295533,140.4056,1982.6055618393
1,1.620207402,69.9818,2039.727267334868
1,1.374132653,73.4949,2140.4275262542833
1,2.126621639,77.2807,2022.0567885382936
1,2.384916201,94.8291,2091.3214393405615
1,3.153934872,104.7023,1978.93711920135
1,1.92020973,124.5107,2129.8820573994367
1,2.342758621,133.4108,1853.093016122385
1,2.790909091,59.5418,1963.055090452705
1,2.67641519,99.5063,2042.433095700525
1,2.015166045,88.5351,2000.0408690726383
1,2.258035189,127.258,1960.52946037029
1,2.541080272,76.2798,1932.728443829265
0,1.723939394,53.7737,2043.553518547255
1,1.7272,89.8342,2022.6175075014285
1,3.168385215,67.6812,1957.6097974760985
1,1.1176,72.6197,2108.0643759096083
1,2.366608125,112.2431,2062.98699994643
1,3.436627517,102.9454,1874.793325685907
0,0.855167312,79.6483,2049.457803916827
0,0.699489412,79.6483,1888.931391953303
1,0.865005755,44.5706,1939.87304046354
1,1.500496886,29.5844,1977.6628719129585
1,1.126929388,35.8611,2063.908973292135
1,1.207806486,50.3438,2051.346293975815
0,0.848666667,10.1321,2004.5130403920432
1,1.121986,51.2453,2053.32743417346
1,1.088043192,46.6683,1997.7954603897049
1,1.409765113,31.6218,2013.965959479685
0,5.924982534,32.1603,1242.5006283258867
0,2.9508,0,1459.5909518806366
0,1.7272,2.7606,1436.2225178615583
0,2.740208,0,1465.6857497377666
0,1.530096,41.919,1388.771330682255
0,2.77368,32.8126,1341.3980368403966
0,2.440792,0,1443.8236411712169
0,4.846602398,101.6158,1349.0343548083667
0,1.572768,17.3516,1385.958489497025
0,0.70104,15.5561,1394.58909298572
0,2.214110173,0,1453.082417076933
0,2.533787666,7.9064,1453.082417076933
1,3.114285714,39.4119,1401.1932609093667
1,7.12762,64.2083,1269.03287927208
1,1.953601905,61.9324,2045.0688159579415
1,2.729698473,93.0776,2036.1471478114584
1,1.247815916,41.2879,2107.670738714105
1,1.325889039,93.2801,1961.63191703578
1,0.704748603,32.4735,2230.6457805330965
1,1.539803687,43.8676,1966.433754135
1,0.771435176,62.7059,1996.894886759923
1,0.878836842,74.6211,1946.2910938716932
1,3.109710029,82.5471,1808.8958849701
1,3.640015453,108.5129,1808.8958849701
1,0.797677122,52.4309,1905.876674823265
1,1.261177994,42.1856,1935.1796488401217
1,2.877812766,33.9525,1852.4157443352617
1,2.437601058,28.7857,1901.019050226035
0,2.737209937,26.0638,1859.546393542388
0,2.237557391,38.189,1859.309474560875
0,1.621288066,51.0528,1866.2570758101367
0,2.057823622,70.0172,1829.78860371116
0,0.726117231,40.748,1829.78860371116
0,0.775563806,34.9456,1829.78860371116
0,0.775023333,19.313,1829.78860371116
0,1.550211185,37.9989,1829.78860371116
0,0.705500787,41.4524,1829.78860371116
0,5.057482529,39.1103,1799.0545195177983
1,2.841351565,75.9646,1817.3857418992368
1,3.336931633,126.7983,1817.3566488315817
0,1.64592,37.8092,1829.78860371116
0,1.68855,53.9042,1829.78860371116
0,1.192044414,38.7068,1829.78860371116
1,2.577018367,18.0155,1830.1592874330615
0,1.745252932,30.2333,1883.49470134506
1,2.912301832,29.7533,1826.6957156286817
0,1.524,84.3502,2025.0641403817367
0,0.669253509,25.0092,1902.3941658059737
0,5.13521703,32.6291,1709.0112429513968
1,2.21276,18.6865,1812.532925498463
0,1.8288,41.5373,1737.3633815155283
1,2.969630047,37.4059,1770.05257971941
1,1.30048,58.2482,1774.8604988620518
0,1.358947368,16.2764,1787.2153839819016
0,1.575887536,19.9471,1779.2200867613717
0,1.426077333,22.6346,1827.67865961893
0,1.190263158,63.6795,1847.5808801702317
0,2.118205128,31.6113,1782.5430850219916
0,2.467977136,52.3506,1709.43686379876
0,1.979015658,33.1724,1527.9856156835433
0,1.036931741,20.9465,1712.4880323147868
1,1.90334624,30.751,1978.2391049692485
1,1.472353788,64.2588,2014.5899482492032
1,1.068771454,89.9575,1921.6074143730368
1,2.215771028,36.4059,1913.0817505831567
1,2.869474286,34.6842,1921.6124329165336
1,1.449103059,52.3382,1901.7643744428483
1,1.755896,58.4578,1920.3578680331368
1,1.281219512,47.1224,2036.8306254588863
1,1.280818713,88.2212,2105.643570020985
1,2.567966935,136.3289,1951.5130374473115
1,0.686613725,86.9062,2156.8648198316782
1,3.281483695,55.8802,1954.8443252498432
1,3.111447488,62.1781,1954.8443252498432
1,4.3383504,49.5797,1891.470499915735
1,4.36774,49.391,1897.7502278614015
1,2.342948718,94.3549,2009.8733796271083
1,2.54657277,64.2225,1936.0385821631833
1,2.94459364,63.41,1787.7955761233634
1,1.759383026,108.9763,1836.9717675099264
1,1.670827015,100.4841,1997.0726623172768
1,3.863733183,123.0549,1876.727631391285
1,0.794166667,46.6992,1949.0887726270832
1,1.881771429,52.8047,1946.1552312210515
1,1.2192,162.4971,1988.0492520470216
1,3.680685714,147.7769,1882.0483403830617
1,5.300371429,27.5472,1840.3540561491116
1,1.688359355,35.6012,1977.744069952432
1,1.283333333,17.3691,1990.746553810975
1,2.091133333,40.236,1993.8541836706231
1,2.3876,93.3329,1926.71321815432
1,4.279303623,22.2808,1902.426151494835
1,1.2192,55.4047,1943.5899151728868
1,1.005963889,90.8301,2041.401021495685
1,1.033155963,38.4901,2001.906494635135
1,1.678093333,31.6255,1889.2281782824284
1,0.9906,31.6255,1889.2281782824284
1,2.29630339,86.2246,1913.9318880488936
1,1.74554,39.647,1896.65348652391
1,4.4196,28.4431,1967.1653236310333
0,3.401868063,42.4546,1800.5896080452733
0,2.026778351,42.4546,1800.5896080452733
1,1.393406897,49.5692,1914.7763676100683
1,2.5689768,22.4853,1882.22210497408
1,1.246065882,59.9248,1931.79314206306
1,1.554487167,28.2537,1933.510430376975
1,1.336613091,72.4792,1861.329029806625
1,0.824904706,34.5867,2064.0218388714784
1,1.250472727,33.8989,2044.879611497825
1,1.615491654,80.1355,2011.7933710197467
1,1.935138137,34.4344,1971.2564232007417
1,2.059700699,26.973,1941.33677911625
1,1.631305691,46.5788,1944.9549113341784
1,2.371124731,36.6185,1928.9319189932385
1,1.268472394,30.9686,2017.8153190337432
1,1.542212912,30.9686,2017.8153190337432
1,3.137513311,43.3619,1796.034697401035
1,2.662142857,16.4028,1868.131311950345
0,2.923392453,46.632,1722.548716205495
1,2.673425688,64.1911,1878.6462444798815
1,1.3716,40.7474,1857.3641312579316
1,1.385613675,23.5266,1960.829323464835
1,5.607286355,51.8816,1796.5918070340515
1,1.71440995,38.0776,1872.017400896468
1,2.489380117,36.697,1865.88319797129
1,2.65544,42.4865,1892.31653045979
1,5.37935631,51.8816,1796.5918070340515
